name,id,date_start,date_end,region,type,event,age_group,discipline,rank,player1,player2,seed
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U19,U19,GS,1,Sophia Wu,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U19,U19,GS,2,Sydney Li,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U19,U19,GS,3,Coco Cenke Tao,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U19,U19,GS,4,Xinyan Zeng,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U11,U11,XD,1,Naksh Shetty,Xiner Hu,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U11,U11,XD,2,Devaansh,MahatoVenba Senkadir,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U11,U11,XD,3,Shrihayagrivan,KarthigayanShreya Rajesh Kumar,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U11,U11,XD,4,Mingyuan Zang,Nina Kuan,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U13,U13,XD,1,Yian Yang,Sophia Liu,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U13,U13,XD,2,Joey,WangDaisy Xu,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U13,U13,XD,3,Michael Yufu Sun,Grace Cheng,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U13,U13,XD,4,Chiranjeev Deepak,Siddhi Thorat,5/8
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U15,U15,XD,1,William Geng,Stephanie Jiayi Song,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U15,U15,XD,2,Jacob Zhou,Alice Meng,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U15,U15,XD,3,Jacob Ma,Lexuan Wen,5/8
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U15,U15,XD,4,Mikael Chang,Janice Chen,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U17,U17,XD,1,Terence,CaiSelena Wei,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U17,U17,XD,2,Yifan,LiuMaggie Zang,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U17,U17,XD,3,Raymond Haiwen Song,Savannah Kam,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U17,U17,XD,4,Gavin,LeAngela Wang,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U19,U19,XD,1,Vaughn,ZhaoJennifer Xu,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U19,U19,XD,2,Kevin,Guowei YangSydney Li,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U19,U19,XD,3,Suraj Rajesh Kumar,Sophia Wu,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,XD U19,U19,XD,4,Napat Srisalaipaisal,Coco Cenke Tao,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U11,U11,BD,1,Keaton Ou,Naksh Shetty,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U11,U11,BD,2,Franklin Xu Cheng,Adrian Zhang,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U11,U11,BD,3,Eden Wong,Mingyuan Zang,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U11,U11,BD,4,Shrihayagrivan Karthigayan,Toby Liu,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U13,U13,BD,1,Vignan Chandrasekaran,Michael Yufu Sun,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U13,U13,BD,2,Chiranjeev Deepak,Anshu Gowda,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U13,U13,BD,3,Leon Luo,Ethan Qiu,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U13,U13,BD,4,Arnav Satish,Joey Wang,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U15,U15,BD,1,Zaph J-Din Bayona,Yifei Zhang,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U15,U15,BD,2,Ayaaz Muhammed Baig,Mikael Chang,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U15,U15,BD,3,Jacob Ma,Jacob Zhou,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U15,U15,BD,4,Cayden Wang,Anthony Cheng Xu,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U17,U17,BD,1,Brendan,ChenYifan Liu,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U17,U17,BD,2,Ethan Wu,Hanyi Zhang,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U17,U17,BD,3,Raymond Haiwen Song,Micah Wei,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U17,U17,BD,4,Christopher,GunawanJayden Mar,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U19,U19,BD,1,Suraj,Rajesh KumarVaughn Zhao,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U19,U19,BD,2,Nihal Kadamba,Justin Kan,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U19,U19,BD,3,Jay,ChunDavid Zuo,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BD U19,U19,BD,4,Nikhil,KandalamOliver Lien Strayer,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U11,U11,GD,1,Harseerat,K AroraEesha Vikram,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U11,U11,GD,2,Shreya,Rajesh KumarVenba Senkadir,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U11,U11,GD,3,Yvonne,Chen YangThea Yuan,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U11,U11,GD,4,Sarah,LinJulia Zhang,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U13,U13,GD,1,Mizuki Ikeuchi,Bella Liu,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U13,U13,GD,2,Alaina Benjamin,Sophia Liu,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U13,U13,GD,3,Hanyi (Sissi) Lei,Daisy Xu,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U13,U13,GD,4,Grace Cheng,Sophia Z Liu,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U15,U15,GD,1,Alice Meng,Lexuan Wen,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U15,U15,GD,2,Janice Chen,Stephanie Jiayi Song,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U15,U15,GD,3,Charvi Srivastava,Elena Zhang,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U15,U15,GD,4,Mihika,JaiswalSahasra Reddy,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U17,U17,GD,1,Angela,WangSelina Xu,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U17,U17,GD,2,Clarinda Jin,Ishi Reddy,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U17,U17,GD,3,Daby,HuangMeghana Nishant,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U17,U17,GD,4,Erica,Chen LinSelena Wei,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U19,U19,GD,1,Sophia,WuJennifer Xu,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U19,U19,GD,2,Suneri,Krishna ChinthalapatiAnvita Jamsandekar,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U19,U19,GD,3,Coco,Cenke TaoXinyan Zeng,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GD U19,U19,GD,4,Jocelyn (Youran) ZhangZimeng,Zhou,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U11,U11,BS,1,Neel Achari,,3/4
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U11,U11,BS,2,Franklin Xu Cheng,,3/4
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U11,U11,BS,3,Chris Lin,,2
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U11,U11,BS,4,Aaron Thomas Nitish,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U13,U13,BS,1,Vignan Chandrasekaran,,2
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U13,U13,BS,2,Aayush Jaladurgam,,1
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U13,U13,BS,3,Jida Wu,,3/4
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U13,U13,BS,4,David Zhang,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U15,U15,BS,1,Arjun Aditya Hariharan,,2
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U15,U15,BS,2,Vishaant Harish,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U15,U15,BS,3,Varish Karri,,1
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U15,U15,BS,4,Vedant Shukla,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U17,U17,BS,1,Yifei Zhang,,3/4
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U17,U17,BS,2,Ayaaz Muhammed Baig,,3/4
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U17,U17,BS,3,Marzuq Mathani,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U17,U17,BS,4,Aarya Vijay,,2
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U19,U19,BS,1,Srinivas Raghav Subash,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U19,U19,BS,2,Raymond Haiwen Song,,1
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U19,U19,BS,3,Abhiram Tripuraneni,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,BS U19,U19,BS,4,Micah Wei,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U11,U11,GS,1,Eesha Vikram,,3/4
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U11,U11,GS,2,Esther He,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U11,U11,GS,3,Emily Feng,,2
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U11,U11,GS,4,Riana Soprala,,1
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U13,U13,GS,1,Kavya Balaji,,1
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U13,U13,GS,2,Manvi Jandhyala,,2
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U13,U13,GS,3,Miura Yan Faye Goh,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U13,U13,GS,4,Pragathi Maadawada,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U15,U15,GS,1,Shaoyao Luo,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U15,U15,GS,2,Tanvi Jandhyala,,1
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U15,U15,GS,3,Claire QiuChen Li,,2
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U15,U15,GS,4,Mrugakshi Kulkarni,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U17,U17,GS,1,Mihika Jaiswal,,1
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U17,U17,GS,2,Haziqa H Mathani,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U17,U17,GS,3,Diksha Chandrasekaran,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,GS U17,U17,GS,4,Jade Hu,,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,XD U11,U11,XD,1,Chris Lin,Eesha Vikram,1
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,XD U11,U11,XD,2,Fonghong Lin,Ananya Kumar,2
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,XD U11,U11,XD,3,Franklin Xu Cheng,Emily Feng,3/4
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,XD U11,U11,XD,4,Avyukth,Reddy PatiVihaa Reddy Keesara,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,XD U13,U13,XD,1,Varish Karri,Kavya Balaji,1
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,XD U13,U13,XD,2,Vedhanth,Kumar KanthalaManvi Jandhyala,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,XD U13,U13,XD,3,Aayush,JaladurgamMiura Yan Faye Goh,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,XD U13,U13,XD,4,Vignan,ChandrasekaranSarah Chandrasekar,
2025 Austin Leander South OLC,376A120B-F979-495B-9799-ED548D9A1E7E,2025-09-20,2025-09-21,South,OLC,XD U15,U15,XD,1,Ayaaz Muhammed Baig,Haziqa H Mathani,2
