age_group,discipline,rank,player,total_pts,counted,total,top4_detail
U11,BS,22,Vincent Xiaoyuan Zhang,852,4,8,Bellevue_NW_ORC 17-32(213) | Synergy_NorCal_ORC 17-32(213) | Arena_SoCal_ORC 17-32(213) | DFW_South_ORC 17-32(213)
U11,BS,23,Xintong Darren Lu,852,4,10,Bellevue_NW_ORC 17-32(213) | LIBC_NE_ORC 17-32(213) | SPBA_Midwest_ORC 25-32(213) | Arena_SoCal_ORC 17-32(213)
U11,BS,24,Devansh Shambu Ponnapalli,839,4,4,Arena_SoCal_ORC 9-16(340) | CBA_Midwest_OLC 1-1(255) | Peak_Sports_OLC2 5-8(159) | DFW_South_ORC 33-64(85)
U11,BS,25,William Lin,812,4,6,Arena_SoCal_ORC 17-32(213) | SGVBC_SoCal_CRC 4-4(204) | Dave_Freeman_OLC 4-4(204) | Junior_Nationals 49-64(191)
U11,BS,26,Hitesh Narasimha Vaddi,760,4,5,LIBC_NE_ORC 9-16(340) | Capital_NE_OLC 5-8(159) | Fortius_South_CRC 5-8(159) | Peak_Sports_OLC 9-16(102)
U11,BS,27,Tanush Jaltar,729,4,9,Junior_Nationals 33-48(255) | DFW_South_ORC 17-32(213) | Fortius_South_CRC 5-8(159) | Austin_South_CRC 9-12(102)
U11,BS,28,Palaksh Pawankumar Thakare,704,4,4,SPBA_Midwest_ORC 25-32(213) | Wayside_NE_CRC 4-4(204) | NE_MassBad_OLC 5-8(159) | Junior_Nationals 65-96(128)
U11,BS,29,Alvin Zha,702,4,4,Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 17-32(213) | Synergy_NorCal_ORC 33-64(85) | ABC_OLC 17-32(64)
U11,BS,30,Tyler Jiang,687,4,5,Arena_SoCal_ORC 17-32(213) | DFW_South_ORC 17-32(213) | OBA_NW_OLC 5-8(159) | ABC_OLC 9-16(102)
U11,BS,31,Arjun Karthik Viswanathan,633,3,3,Arena_SoCal_ORC 9-16(340) | Junior_Nationals 49-64(191) | Dave_Freeman_OLC 9-16(102)
U11,BS,32,Harshith Vasanth,627,3,3,Seattle_NW_CRC 1-1(255) | Bellevue_NW_ORC 17-32(213) | OBA_NW_OLC 6-6(159)
U11,GS,1,Thea Yuan,2996,4,7,Arena_SoCal_ORC 1-1(850) | DFW_South_ORC 1-1(850) | Junior_Nationals 9-12(765) | Bellevue_NW_ORC 5-8(531)
U11,GS,2,Elina Xiao-En Yang,2359,4,8,DFW_South_ORC 2-2(765) | Arena_SoCal_ORC 3-3(723) | Bellevue_NW_ORC 5-8(531) | Junior_Nationals 25-32(340)
U11,GS,3,Aadya Patil,2337,4,7,Arena_SoCal_ORC 2-2(765) | Synergy_NorCal_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Junior_Nationals 17-24(510)
U11,GS,4,Prarthana Sanghani,2295,4,8,DFW_South_ORC 3-3(723) | LIBC_NE_ORC 5-8(531) | Arena_SoCal_ORC 5-8(531) | Junior_Nationals 17-24(510)
U11,GS,5,Vihaa Reddy Keesara,1891,4,11,Arena_SoCal_ORC 4-4(680) | DFW_South_ORC 5-8(531) | Junior_Nationals 25-32(340) | LIBC_NE_ORC 9-16(340)
U11,GS,6,Julia Zhang,1551,4,9,DFW_South_ORC 5-8(531) | Junior_Nationals 25-32(340) | SPBA_Midwest_ORC 13-16(340) | Arena_SoCal_ORC 9-16(340)
U11,GS,7,Kylie Ou,1356,4,5,DFW_South_ORC 5-8(531) | Arena_SoCal_ORC 9-16(340) | Dave_Freeman_OLC 1-1(255) | SGVBC_SoCal_CRC 2-2(230)
U11,GS,8,Adalyn Puah,1282,4,6,DFW_South_ORC 4-4(680) | Fortius_South_CRC 2-2(230) | Arena_SoCal_ORC 17-32(213) | Austin_South_CRC 5-8(159)
U11,GS,9,Yvonne Chen Yang,1275,4,7,Bellevue_NW_ORC 9-16(340) | Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 9-16(340) | Seattle_NW_CRC 1-1(255)
U11,GS,10,Sarah Lin,1233,4,6,Bellevue_NW_ORC 9-16(340) | Junior_Nationals 25-32(340) | Arena_SoCal_ORC 9-16(340) | Synergy_NorCal_ORC 17-32(213)
U11,GS,11,Ariel An,1233,4,8,Junior_Nationals 25-32(340) | LIBC_NE_ORC 9-16(340) | Synergy_NorCal_ORC 9-16(340) | DFW_South_ORC 17-32(213)
U11,GS,12,Olivia Xu,1116,4,4,Arena_SoCal_ORC 5-8(531) | Synergy_NorCal_ORC 17-32(213) | DFW_South_ORC 17-32(213) | ABC_OLC 5-8(159)
U11,GS,13,Saanvi Jha,1094,4,4,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 9-16(340) | CanAm_NorCal_OLC 5-8(159) | ABC_OLC 17-32(64)
U11,GS,14,Constance Y Cai,1021,4,4,LIBC_NE_ORC 9-16(340) | Wayside_NE_CRC 1-1(255) | SPBA_Midwest_ORC 17-24(213) | DFW_South_ORC 17-32(213)
U11,GS,15,Alison Liu,973,3,3,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 9-16(340) | ABC_OLC 9-16(102)
U11,GS,16,Enya Yu,970,4,5,Arena_SoCal_ORC 9-16(340) | Synergy_NorCal_ORC 17-32(213) | DFW_South_ORC 17-32(213) | OBA_NW_OLC 4-4(204)
U11,GS,17,Ivy Lu,967,4,7,Arena_SoCal_ORC 9-16(340) | Junior_Nationals 33-48(255) | DFW_South_ORC 17-32(213) | Dave_Freeman_OLC 5-8(159)
U11,GS,18,Sahasra Vudum,967,4,5,DFW_South_ORC 9-16(340) | CBA_Midwest_OLC 1-1(255) | Arena_SoCal_ORC 17-32(213) | Austin_South_OLC 7-8(159)
U11,GS,19,Serena Chie,894,4,5,Junior_Nationals 33-48(255) | Bellevue_NW_ORC 17-32(213) | Arena_SoCal_ORC 17-32(213) | DFW_South_ORC 17-32(213)
U11,GS,20,Bella Guo,882,3,3,Junior_Nationals 17-24(510) | SPBA_Midwest_ORC 17-24(213) | Dave_Freeman_OLC 5-8(159)
U11,GS,21,Ella Kung,776,4,4,Arena_SoCal_ORC 9-16(340) | Synergy_NorCal_ORC 17-32(213) | CanAm_NorCal_OLC 7-8(159) | ABC_OLC 17-32(64)
U11,GS,22,Sahasra Parasa,760,4,4,SPBA_Midwest_ORC 13-16(340) | Capital_NE_OLC 7-8(159) | Peak_Sports_OLC 5-8(159) | Peak_Sports_OLC2 9-16(102)
U11,GS,23,Samara Vakula Varasala,703,4,4,DFW_South_ORC 9-16(340) | Austin_South_CRC 7-8(159) | Austin_South_OLC 13-16(102) | Schafer_SLG_OLC2 13-16(102)
U11,GS,24,Anvitha Krishnan,655,4,5,Junior_Nationals 33-48(255) | Arena_SoCal_ORC 17-32(213) | CanAm_NorCal_OLC 9-12(102) | Synergy_NorCal_ORC 33-64(85)
U11,GS,25,Meera Patel,642,3,3,Arena_SoCal_ORC 9-16(340) | Dave_Freeman_OLC 3-3(217) | DFW_South_ORC 33-64(85)
U11,GS,26,Summer Fei Xu,630,4,4,Wayside_NE_CRC 2-2(230) | Arena_SoCal_ORC 17-32(213) | Capital_NE_OLC 9-12(102) | DFW_South_ORC 33-64(85)
U11,GS,27,Eeshani Devasena Josyula,601,3,3,DFW_South_ORC 9-16(340) | Austin_South_CRC 5-8(159) | Austin_South_OLC 13-16(102)
U11,GS,28,Meera Bhalekar,601,3,3,DFW_South_ORC 9-16(340) | Austin_South_OLC 7-8(159) | Schafer_SLG_OLC2 13-16(102)
U11,GS,29,Lena Chen,576,4,4,DFW_South_ORC 17-32(213) | Schafer_SLG_OLC2 7-8(159) | Austin_South_OLC 13-16(102) | Schafer_SLG_OLC 9-16(102)
U11,GS,30,Iris Sun,544,2,2,SPBA_Midwest_ORC 9-12(340) | CBA_Midwest_OLC 4-4(204)
U11,GS,31,Ellie Wen,531,3,3,SPBA_Midwest_ORC 17-24(213) | Egret_Midwest_OLC 5-8(159) | CBA_Midwest_OLC 5-8(159)
U11,GS,32,Layaa Vijayshankar,519,3,3,Arena_SoCal_ORC 17-32(213) | Dave_Freeman_OLC 4-4(204) | CanAm_NorCal_OLC 13-16(102)
U11,BD,1,Naksh Shetty,3911,4,4,Junior_Nationals 3-3(1446) | Bellevue_NW_ORC 1-1(850) | DFW_South_ORC 1-1(850) | SPBA_Midwest_ORC 2-2(765)
U11,BD,2,Neel Achari,2996,4,12,Arena_SoCal_ORC 1-1(850) | DFW_South_ORC 1-1(850) | Junior_Nationals 9-12(765) | Bellevue_NW_ORC 5-8(531)
U11,BD,3,Harry H Song,2550,4,8,Arena_SoCal_ORC 1-1(850) | DFW_South_ORC 2-2(765) | Junior_Nationals 13-16(595) | LIBC_NE_ORC 9-16(340)
U11,BD,4,Avyukth Reddy Pati,2168,4,11,DFW_South_ORC 2-2(765) | Arena_SoCal_ORC 3-3(723) | Junior_Nationals 25-32(340) | LIBC_NE_ORC 9-16(340)
U11,BD,5,Arudh Sundar,2146,4,9,Arena_SoCal_ORC 2-2(765) | LIBC_NE_ORC 5-8(531) | Junior_Nationals 17-24(510) | DFW_South_ORC 9-16(340)
U11,BD,6,Srinivas Shankar,2125,4,10,DFW_South_ORC 3-3(723) | Synergy_NorCal_ORC 5-8(531) | Arena_SoCal_ORC 5-8(531) | Junior_Nationals 25-32(340)
U11,BD,7,Devaansh Surpur,2104,4,11,Arena_SoCal_ORC 3-3(723) | LIBC_NE_ORC 5-8(531) | Junior_Nationals 17-24(510) | DFW_South_ORC 9-16(340)
U11,BD,8,Bowen Wang,1972,4,8,Arena_SoCal_ORC 4-4(680) | LIBC_NE_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Dave_Freeman_OLC 2-2(230)
U11,BD,9,Abhinav Praveen,1912,4,5,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Junior_Nationals 17-24(510) | Synergy_NorCal_ORC 9-16(340)
U11,BD,10,William Lin,1905,4,6,Junior_Nationals 9-12(765) | Arena_SoCal_ORC 4-4(680) | SGVBC_SoCal_CRC 2-2(230) | Dave_Freeman_OLC 2-2(230)
U11,BD,11,Aiden Yu,1891,4,8,DFW_South_ORC 4-4(680) | Arena_SoCal_ORC 5-8(531) | Junior_Nationals 25-32(340) | SPBA_Midwest_ORC 9-16(340)
U11,BD,12,Daksh Thakur,1739,4,9,DFW_South_ORC 3-3(723) | Arena_SoCal_ORC 5-8(531) | Peak_Sports_OLC2 1-1(255) | Schafer_SLG_OLC 2-2(230)
U11,BD,13,Matthew Alexander Lau,1625,4,5,DFW_South_ORC 4-4(680) | Arena_SoCal_ORC 5-8(531) | Dave_Freeman_OLC 1-1(255) | CanAm_NorCal_OLC 5-8(159)
U11,BD,14,Vincent Xiaoyuan Zhang,1615,4,7,Junior_Nationals 13-16(595) | Bellevue_NW_ORC 9-16(340) | Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 9-16(340)
U11,BD,15,Devansh Shambu Ponnapalli,1526,3,3,Arena_SoCal_ORC 2-2(765) | DFW_South_ORC 5-8(531) | Peak_Sports_OLC2 2-2(230)
U11,BD,16,Devansh Ponnapalli,1501,4,7,LIBC_NE_ORC 5-8(531) | Junior_Nationals 17-24(510) | Fortius_South_CRC 2-2(230) | Peak_Sports_OLC 2-2(230)
U11,BD,17,Aaditya Lanka,1467,4,11,Arena_SoCal_ORC 5-8(531) | Junior_Nationals 17-24(510) | LIBC_NE_ORC 17-32(213) | Synergy_NorCal_ORC 17-32(213)
U11,BD,18,Ayushmaan Senapati,1424,4,8,Arena_SoCal_ORC 5-8(531) | LIBC_NE_ORC 9-16(340) | Synergy_NorCal_ORC 9-16(340) | SPBA_Midwest_ORC 17-32(213)
U11,BD,19,Alvin Zha,1402,3,3,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Synergy_NorCal_ORC 9-16(340)
U11,BD,20,Ethan Li,1360,4,8,Bellevue_NW_ORC 9-16(340) | Junior_Nationals 25-32(340) | LIBC_NE_ORC 9-16(340) | Arena_SoCal_ORC 9-16(340)
U11,BD,21,Xintong Darren Lu,1360,4,10,Bellevue_NW_ORC 9-16(340) | Junior_Nationals 25-32(340) | LIBC_NE_ORC 9-16(340) | Synergy_NorCal_ORC 9-16(340)
U11,BD,22,Henry Qiu,1293,4,8,Junior_Nationals 17-24(510) | Bellevue_NW_ORC 9-16(340) | Wayside_NE_CRC 2-2(230) | LIBC_NE_ORC 17-32(213)
U11,BD,23,Jeremiah Wang,1293,4,6,Junior_Nationals 17-24(510) | LIBC_NE_ORC 9-16(340) | Capital_NE_OLC 2-2(230) | SPBA_Midwest_ORC 17-32(213)
U11,BD,24,Tanush Jaltar,1267,4,9,Junior_Nationals 17-24(510) | DFW_South_ORC 9-16(340) | Synergy_NorCal_ORC 17-32(213) | Fortius_South_CRC 4-4(204)
U11,BD,25,Ethan Yichen Zhou,1237,4,5,Bellevue_NW_ORC 9-16(340) | Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 9-16(340) | Dave_Freeman_OLC 3-3(217)
U11,BD,26,Mahith Jajula,1152,4,8,Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 9-16(340) | Wayside_NE_CRC 1-1(255) | Capital_NE_OLC 3-3(217)
U11,BD,27,Harrell Thomas,1152,4,4,LIBC_NE_ORC 9-16(340) | DFW_South_ORC 9-16(340) | Wayside_NE_CRC 1-1(255) | Capital_NE_OLC 3-3(217)
U11,BD,28,Eeshan Ganesh,1097,4,4,Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 9-16(340) | Synergy_NorCal_ORC 17-32(213) | Dave_Freeman_OLC 4-4(204)
U11,BD,29,Pradvik Prabhu,1008,4,4,DFW_South_ORC 5-8(531) | Capital_NE_OLC 5-5(159) | Fortius_South_CRC 5-5(159) | Peak_Sports_OLC2 5-8(159)
U11,BD,30,Tejesh Talanki,957,3,3,Bellevue_NW_ORC 5-8(531) | SPBA_Midwest_ORC 17-32(213) | Synergy_NorCal_ORC 17-32(213)
U11,BD,31,Ayden Junyi Ling,894,4,4,DFW_South_ORC 5-8(531) | Peak_Sports_OLC2 5-8(159) | Capital_NE_OLC 9-12(102) | NE_MassBad_OLC 9-16(102)
U11,BD,32,Palaksh Pawankumar Thakare,882,3,3,Junior_Nationals 17-24(510) | SPBA_Midwest_ORC 17-32(213) | NE_MassBad_OLC 5-8(159)
U11,GD,1,Thea Yuan,3358,4,5,Junior_Nationals 7-8(935) | Arena_SoCal_ORC 1-1(850) | DFW_South_ORC 1-1(850) | Bellevue_NW_ORC 3-3(723)
U11,GD,2,Prarthana Sanghani,2996,4,6,Arena_SoCal_ORC 1-1(850) | DFW_South_ORC 1-1(850) | Junior_Nationals 9-12(765) | LIBC_NE_ORC 5-8(531)
U11,GD,3,Elina Xiao-En Yang,2720,4,6,Junior_Nationals 7-8(935) | Arena_SoCal_ORC 2-2(765) | DFW_South_ORC 4-4(680) | Bellevue_NW_ORC 9-16(340)
U11,GD,4,Yvonne Chen Yang,2699,4,5,Arena_SoCal_ORC 2-2(765) | Bellevue_NW_ORC 3-3(723) | DFW_South_ORC 4-4(680) | SPBA_Midwest_ORC 5-8(531)
U11,GD,5,Vihaa Reddy Keesara,2550,4,9,DFW_South_ORC 2-2(765) | Arena_SoCal_ORC 3-3(723) | LIBC_NE_ORC 5-8(531) | Synergy_NorCal_ORC 5-8(531)
U11,GD,6,Aadya Patil,2529,4,5,DFW_South_ORC 2-2(765) | Arena_SoCal_ORC 3-3(723) | Synergy_NorCal_ORC 5-8(531) | Junior_Nationals 17-24(510)
U11,GD,7,Sarah Lin,2486,4,4,Bellevue_NW_ORC 4-4(680) | Arena_SoCal_ORC 4-4(680) | Junior_Nationals 13-16(595) | Synergy_NorCal_ORC 5-8(531)
U11,GD,8,Julia Zhang,2337,4,6,Bellevue_NW_ORC 4-4(680) | Junior_Nationals 13-16(595) | Synergy_NorCal_ORC 5-8(531) | DFW_South_ORC 5-8(531)
U11,GD,9,Serena Chie,2103,4,5,Bellevue_NW_ORC 5-8(531) | Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Junior_Nationals 17-24(510)
U11,GD,10,Adalyn Puah,1739,4,4,DFW_South_ORC 3-3(723) | Arena_SoCal_ORC 5-8(531) | Austin_South_OLC 1-1(255) | Austin_South_CRC 2-2(230)
U11,GD,11,Ivy Lu,1721,4,4,Arena_SoCal_ORC 5-8(531) | Junior_Nationals 17-24(510) | Synergy_NorCal_ORC 9-16(340) | DFW_South_ORC 9-16(340)
U11,GD,12,Kylie Ou,1458,3,3,DFW_South_ORC 3-3(723) | Arena_SoCal_ORC 5-8(531) | Dave_Freeman_OLC 4-4(204)
U11,GD,13,Enya Yu,1424,3,3,Arena_SoCal_ORC 4-4(680) | DFW_South_ORC 5-8(531) | Synergy_NorCal_ORC 17-32(213)
U11,GD,14,Ariel An,1352,4,6,Junior_Nationals 13-16(595) | LIBC_NE_ORC 9-16(340) | Synergy_NorCal_ORC 17-32(213) | Schafer_SLG_OLC2 4-4(204)
U11,GD,15,Bella Guo,1330,3,3,Junior_Nationals 13-16(595) | SPBA_Midwest_ORC 5-8(531) | Dave_Freeman_OLC 4-4(204)
U11,GD,16,Sahasra Vudum,1323,4,4,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Austin_South_OLC 7-8(159) | Schafer_SLG_OLC2 9-16(102)
U11,GD,17,Samara Vakula Varasala,951,4,4,DFW_South_ORC 5-8(531) | Austin_South_CRC 5-8(159) | Austin_South_OLC 7-8(159) | Schafer_SLG_OLC2 9-16(102)
U11,GD,18,Meera Patel,871,2,2,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 9-16(340)
U11,GD,19,Olivia Xu,871,2,2,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 9-16(340)
U11,GD,20,Saanvi Jha,871,2,2,DFW_South_ORC 5-8(531) | Arena_SoCal_ORC 9-16(340)
U11,GD,21,Alison Liu,871,2,2,DFW_South_ORC 5-8(531) | Arena_SoCal_ORC 9-16(340)
U11,GD,22,Elizabeth Sarah Mark,849,3,3,DFW_South_ORC 5-8(531) | Austin_South_CRC 5-8(159) | Austin_South_OLC 7-8(159)
U11,GD,23,Eeshani Devasena Josyula,812,3,3,DFW_South_ORC 9-16(340) | Austin_South_CRC 1-1(255) | Austin_South_OLC 3-3(217)
U11,GD,24,Meera Bhalekar,703,3,3,DFW_South_ORC 9-16(340) | Austin_South_OLC 4-4(204) | Schafer_SLG_OLC2 5-8(159)
U11,GD,25,Evelyn Yuchen Zhou,680,2,2,Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 9-16(340)
U11,GD,26,Ella Kung,553,2,2,Arena_SoCal_ORC 9-16(340) | Synergy_NorCal_ORC 17-32(213)
U11,GD,27,Anvitha Krishnan,553,2,2,Arena_SoCal_ORC 9-16(340) | Synergy_NorCal_ORC 17-32(213)
U11,GD,28,Anna Dai,531,1,1,Arena_SoCal_ORC 5-8(531)
U11,GD,29,Meher Sharma,442,2,2,DFW_South_ORC 9-16(340) | Schafer_SLG_OLC2 9-16(102)
U11,GD,30,Rachel Wang,363,2,2,Austin_South_OLC 4-4(204) | Schafer_SLG_OLC2 5-8(159)
U11,GD,31,Claire Cao,340,1,1,Bellevue_NW_ORC 9-16(340)
U11,GD,32,Jessie Yuan,340,1,1,Bellevue_NW_ORC 9-16(340)
U11,XD,1,Naksh Shetty,3825,4,5,Junior_Nationals 5-5(1275) | Bellevue_NW_ORC 1-1(850) | SPBA_Midwest_ORC 1-1(850) | DFW_South_ORC 1-1(850)
U11,XD,2,Prarthana Sanghani,2614,4,8,DFW_South_ORC 1-1(850) | Arena_SoCal_ORC 3-3(723) | LIBC_NE_ORC 5-8(531) | Junior_Nationals 17-24(510)
U11,XD,3,Arudh Sundar,2295,4,7,Arena_SoCal_ORC 3-3(723) | LIBC_NE_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Junior_Nationals 17-24(510)
U11,XD,4,Harry H Song,2270,4,8,Arena_SoCal_ORC 1-1(850) | DFW_South_ORC 4-4(680) | Junior_Nationals 17-24(510) | Schafer_SLG_OLC2 2-2(230)
U11,XD,5,Vihaa Reddy Keesara,2125,4,11,Arena_SoCal_ORC 2-2(765) | DFW_South_ORC 2-2(765) | Synergy_NorCal_ORC 9-16(340) | Fortius_South_CRC 1-1(255)
U11,XD,6,Avyukth Reddy Pati,2125,4,8,Arena_SoCal_ORC 2-2(765) | DFW_South_ORC 2-2(765) | Synergy_NorCal_ORC 9-16(340) | Fortius_South_CRC 1-1(255)
U11,XD,7,Thea Yuan,2103,4,6,Bellevue_NW_ORC 5-8(531) | Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Junior_Nationals 17-24(510)
U11,XD,8,Adalyn Puah,1919,4,6,Arena_SoCal_ORC 1-1(850) | DFW_South_ORC 4-4(680) | Fortius_South_CRC 2-2(230) | Austin_South_CRC 5-8(159)
U11,XD,9,Aadya Patil,1721,4,7,Bellevue_NW_ORC 5-8(531) | Junior_Nationals 17-24(510) | Synergy_NorCal_ORC 9-16(340) | Arena_SoCal_ORC 9-16(340)
U11,XD,10,Elina Xiao-En Yang,1573,4,6,Arena_SoCal_ORC 4-4(680) | Junior_Nationals 25-32(340) | DFW_South_ORC 9-16(340) | Bellevue_NW_ORC 17-32(213)
U11,XD,11,Abhinav Praveen,1530,4,5,Junior_Nationals 17-24(510) | Synergy_NorCal_ORC 9-16(340) | Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 9-16(340)
U11,XD,12,Bowen Wang,1506,4,6,DFW_South_ORC 3-3(723) | Arena_SoCal_ORC 9-16(340) | SGVBC_SoCal_CRC 2-2(230) | Synergy_NorCal_ORC 17-32(213)
U11,XD,13,Neel Achari,1505,4,10,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Fortius_South_CRC 2-2(230) | Bellevue_NW_ORC 17-32(213)
U11,XD,14,Ariel An,1484,4,7,DFW_South_ORC 5-8(531) | Junior_Nationals 17-24(510) | Schafer_SLG_OLC2 2-2(230) | LIBC_NE_ORC 17-32(213)
U11,XD,15,Kylie Ou,1452,4,4,DFW_South_ORC 3-3(723) | Arena_SoCal_ORC 9-16(340) | SGVBC_SoCal_CRC 2-2(230) | Dave_Freeman_OLC 7-8(159)
U11,XD,16,Yvonne Chen Yang,1428,4,6,Arena_SoCal_ORC 5-8(531) | Bellevue_NW_ORC 9-16(340) | DFW_South_ORC 9-16(340) | OBA_NW_OLC 3-3(217)
U11,XD,17,Aiden Yu,1424,4,8,Arena_SoCal_ORC 5-8(531) | Junior_Nationals 25-32(340) | DFW_South_ORC 9-16(340) | SPBA_Midwest_ORC 17-32(213)
U11,XD,18,Sarah Lin,1424,4,5,Arena_SoCal_ORC 5-8(531) | Bellevue_NW_ORC 9-16(340) | Junior_Nationals 25-32(340) | Synergy_NorCal_ORC 17-32(213)
U11,XD,19,Vincent Xiaoyuan Zhang,1297,4,5,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 9-16(340) | Bellevue_NW_ORC 17-32(213) | Synergy_NorCal_ORC 17-32(213)
U11,XD,20,Devansh Shambu Ponnapalli,1275,3,3,Arena_SoCal_ORC 4-4(680) | DFW_South_ORC 9-16(340) | CBA_Midwest_OLC 1-1(255)
U11,XD,21,Henry Qiu,1233,4,6,Bellevue_NW_ORC 9-16(340) | Junior_Nationals 25-32(340) | DFW_South_ORC 9-16(340) | LIBC_NE_ORC 17-32(213)
